Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"BLEOMYCIN-TEVA 15 Egység por oldatos injekcióhoz";"1 X   - injekciós üvegben";"OGYI-T-08376/01";"bleomycin";"Teva Gyógyszergyár Zrt.";"L01DC01";"2017-10-05 00:00:00";"";"Piaci megfontolások";"Kontingens";
"BLEOMYCIN-TEVA 15 Egység por oldatos injekcióhoz";"10 X   - injekciós üvegben";"OGYI-T-08376/02";"bleomycin";"Teva Gyógyszergyár Zrt.";"L01DC01";"2017-10-05 00:00:00";"";"Piaci megfontolások";"Kontingens";
"BOLUS ADSTRINGENS tabletta";"50 X   - üvegben";"OGYI-T-03352/01";"albumin tannate;bismuth subgallate;Kaolin, heavy";"Egis Gyógyszergyár Zrt.";"A07BB";"2022-08-09 00:00:00";"2022-12-09 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BONEACT 35 mg filmtabletta";"4 X   - buborékcsomagolásban";"OGYI-T-20382/01";"risedronic acid";"Teva Gyógyszergyár Zrt.";"M05BA07";"2022-11-25 00:00:00";"2023-12-01 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"BOOSTRIX POLIO szuszpenziós injekció elõretöltött fecskendõben";"1 X 0.5 ml elõretöltött fecskendõben";"OGYI-T-20497/01";"vakcina (kombinált)";"GlaxoSmithKline Biologicals S.A.";"J07CA02";"2022-03-10 00:00:00";"2022-06-30 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BOOSTRIX POLIO szuszpenziós injekció elõretöltött fecskendõben";"1 X 0.5 ml elõretöltött fecskendõben";"OGYI-T-20497/07";"vakcina (kombinált)";"GlaxoSmithKline Biologicals S.A.";"J07CA02";"2022-03-23 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BORTEZOMIB SANDOZ 3,5 mg por oldatos injekcióhoz";"1 X   - injekciós üvegben";"OGYI-T-23375/02";"bortezomib";"Sandoz Hungária Kft.";"L01XG01";"2019-02-27 00:00:00";"2023-06-30 00:00:00";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"BRONCHIPRET belsõleges oldatos cseppek";"1 X 100 ml üvegben";"OGYI-T-09642/04";"extr. thymi vulgaris herba;extr. Hederae helicis";"Bionorica SE";"R05CA10";"2013-10-07 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BRONCHIPRET belsõleges oldatos cseppek";"1 X 50 ml üvegben";"OGYI-T-09642/03";"extr. thymi vulgaris herba;extr. Hederae helicis";"Bionorica SE";"R05CA10";"2013-10-07 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"10 X   - buborékcsomagolásban";"OGYI-T-22827/01";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"100 X   - buborékcsomagolásban";"OGYI-T-22827/05";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"14 X   - buborékcsomagolásban";"OGYI-T-22827/02";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-22827/03";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22827/04";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BROTIZOLAM AMDIPHARM 0,25 mg tabletta";"300 X   - buborékcsomagolásban";"OGYI-T-22827/06";"brotizolam";"Amdipharm Ltd.";"N05CD09";"2017-02-13 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BRUFEN cukormentes 40 mg/ml belsõleges szuszpenzió";"1 X 200 ml PET tartályban";"OGYI-T-22073/04";"ibuprofen";"Mylan EPD Kft.";"M01AE01";"2016-11-11 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"BULNEXO 2 mg/0,5 mg nyelvalatti tabletta";"7 X 1 - adagonként perforált buborékcsomagolásban";"OGYI-T-23534/01";"buprenorphine;naloxone";"Alkaloid-int d.o.o.";"N07BC51";"2022-11-14 00:00:00";"2023-03-31 00:00:00";"Megnövekedett igény";"Egyedi import";
"Betaferon 250 mikrogramm/ml por és oldószer oldatos injekcióhoz";"12 X   - injekciós üvegben";"EU/1/95/003/008";"interferon beta-1b";"Bayer AG";"L03AB08";"2016-05-02 00:00:00";"";"Piaci megfontolások";"Kontingens";
"Bondronat 50 mg filmtabletta";"28 X   - buborékcsomagolásban";"EU/1/96/012/009";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2013-01-22 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Bondronat 6 mg koncentrátum oldatos infúzióhoz";"1 X 6  ml injekciós üvegben";"EU/1/96/012/011";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2013-01-22 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Bonviva 150 mg filmtabletta";"1 X   - buborékcsomagolásban";"EU/1/03/265/003";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2014-02-03 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Bonviva 150 mg filmtabletta";"3 X   - buborékcsomagolásban";"EU/1/03/265/004";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2014-02-03 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Bonviva 3 mg oldatos injekció";"1 X   - elõretöltött fecskendõben";"EU/1/03/265/005";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2015-07-23 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Bonviva 3 mg oldatos injekció";"4 X   - elõretöltött fecskendõben";"EU/1/03/265/006";"ibandronic acid";"Atnahs Pharma Netherlands B.V.";"M05BA06";"2015-07-23 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Bydureon 2 mg por és oldószer retard szuszpenziós injekcióhoz";"4 X 1 adag porüveg+oldószerüveg";"EU/1/11/696/001";"exenatide";"AstraZeneca AB";"A10BJ01";"2017-09-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"Bydureon 2 mg por és oldószer retard szuszpenziós injekcióhoz, elõretöltött injekciós tollban";"4 X   - elõretöltött injekciós tollban";"EU/1/11/696/003";"exenatide";"AstraZeneca AB";"A10BJ01";"2022-06-30 00:00:00";"";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Byetta  5 mikrogramm oldatos injekció elõretöltött injekciós tollban";"1 X 1.2 ml elõretöltött injekciós tollban";"EU/1/06/362/001";"exenatide";"AstraZeneca AB";"A10BJ01";"2022-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"Byetta 10 mikrogramm oldatos injekció elõretöltött injekciós tollban";"1 X 2.4 ml elõretöltött injekciós tollban";"EU/1/06/362/003";"exenatide";"AstraZeneca AB";"A10BJ01";"2022-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BÉRES C-VITAMIN 100 mg filmtabletta";"20 X   - átlátszó buborékcsomagolásban";"OGYI-T-08344/01";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2016-10-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"BÉRES C-VITAMIN 200 mg filmtabletta";"20 X   - átlátszó buborékcsomagolásban";"OGYI-T-08345/01";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2022-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"BÉRES Csepp belsõleges oldatos cseppek";"1 X 100 ml üvegben";"OGYI-T-07262/02";"minerals";"BÉRES Gyógyszergyár Zrt.";"A13A";"2014-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"BÉRES Csepp belsõleges oldatos cseppek";"2 X 100 ml üvegben";"OGYI-T-07262/05";"minerals";"BÉRES Gyógyszergyár Zrt.";"A13A";"2014-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"BÉRES MAGNÉZIUM 250 mg+B6 filmtabletta";"2 X 60 Darab HDPE tartályban";"OGYI-T-10193/04";"magnesium citrate;Pyridoxine";"BÉRES Gyógyszergyár Zrt.";"A12CC";"2021-04-13 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"BÉRES Q10 30 mg kemény kapszula";"60 X   - buborékcsomagolásban";"OGYI-T-22143/02";"ubidecarenone/coenzym Q10;Nicotinamide;Zinc;Manganese;Copper;selenium;alpha-tocopheryl acetate concentrate (powder form)";"BÉRES Gyógyszergyár Zrt.";"A11AA03";"2021-01-01 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"BÉRES TRINELL PRO filmtabletta";"10 X   - átlátszó buborékcsomagolásban";"OGYI-T-09400/02";"paracetamol;propyphenazone;caffeine";"BÉRES Gyógyszergyár Zrt.";"N02BE51";"2022-05-16 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"C-VITAMIN BÉRES 500 mg retard filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22427/03";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2020-04-30 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"C-VITAMIN BÉRES 500 mg retard filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-22427/14";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2022-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"C-VITAMIN BÉRES 500 mg retard filmtabletta";"90 X   - buborékcsomagolásban";"OGYI-T-22427/09";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2020-04-30 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"C-VITAMIN BÉRES 500 mg retard filmtabletta";"90 X   - buborékcsomagolásban";"OGYI-T-22427/20";"ascorbic acid";"BÉRES Gyógyszergyár Zrt.";"A11GA01";"2022-07-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CALCISEDRON-D FORTE filmtabletta";"28x+4 X   - buborékcsomagolásban";"OGYI-T-20189/04";"alendronic acid;calcium carbonate;cholecalciferol";"Richter Gedeon Nyrt.";"M05BB05";"2021-11-23 00:00:00";"2022-02-08 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCISEDRON-D FORTE filmtabletta";"84x+12 X   - buborékcsomagolásban";"OGYI-T-20189/05";"alendronic acid;calcium carbonate;cholecalciferol";"Richter Gedeon Nyrt.";"M05BB05";"2021-11-23 00:00:00";"2022-02-08 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCISEDRON-D TRIO filmtabletta";"56x+4 X   - buborékcsomagolásban";"OGYI-T-20189/03";"alendronic acid;cholecalciferol;calcium carbonate";"Richter Gedeon Nyrt.";"M05BB05";"2021-12-17 00:00:00";"2022-02-08 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCIUM-SANDOZ pezsgõtabletta";"20 X   - tubusban";"OGYI-T-05254/02";"calcium carbonate;calcium lactate gluconate";"Sandoz Hungária Kft.";"A12AA04";"2022-07-26 00:00:00";"2023-01-31 00:00:00";"Adminisztratív okok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCIUM-SANDOZ+VITAMIN C 1000 mg pezsgõtabletta";"10 X   - tubusban";"OGYI-T-05255/01";"calcium lactate gluconate;ascorbic acid;calcium carbonate";"Sandoz Hungária Kft.";"A11GB01";"2022-12-06 00:00:00";"2023-03-22 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCIVID CITRÁT filmtabletta";"60 X   - HDPE tartályban";"OGYI-T-20779/02";"cholecalciferol;calcium citrate";"BÉRES Gyógyszergyár Zrt.";"A12AX";"2014-12-31 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CALCIVID filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-09153/01";"cholecalciferol;calcium carbonate";"BÉRES Gyógyszergyár Zrt.";"A12AX";"2016-03-01 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CAMELOX 15 mg tabletta";"20 X   - átlátszatlan fehér buborékcsomagolásban";"OGYI-T-10465/03";"meloxicam";"PannonPharma Kft.";"M01AC06";"2022-03-11 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CANESPRO kenõcs";"1 X 10 g Al tubusban";"OGYI-T-06804/01";"bifonazole;urea";"Bayer Hungária Kft.";"D01AC60";"2021-09-20 00:00:00";"2021-12-01 00:00:00";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"CANESTEN 10 mg/ml külsõleges oldat";"1 X 20 ml mûanyag tartályban";"OGYI-T-08110/04";"clotrimazole";"Bayer Hungária Kft.";"D01AC01";"2020-09-29 00:00:00";"2020-10-21 00:00:00";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"CANESTEN KOMBI UNO 500 mg lágy hüvelykapszula és krém";"1 X   - buborékcsomagolásban";"OGYI-T-08110/09";"clotrimazole";"Bayer Hungária Kft.";"G01AF02";"2022-08-30 00:00:00";"2022-10-18 00:00:00";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"CANESTEN PLUS bifonazol krém";"1 X 20 g Al tubusban";"OGYI-T-09767/02";"bifonazole";"Bayer Hungária Kft.";"D01AC10";"2017-02-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"CARVOL 12,5 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-10295/03";"carvedilol";"Teva Gyógyszergyár Zrt.";"C07AG02";"2023-03-03 00:00:00";"2023-04-30 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CATAFLAM 15 mg/ml belsõleges szuszpenziós cseppek";"1 X 15 ml mûanyag tartályban";"OGYI-T-05573/03";"diclofenac";"Novartis Hungária Kft. Pharma részlege";"M01AB05";"2023-01-16 00:00:00";"2023-05-31 00:00:00";"Gyártási gond";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"CATAFLAM DOLO 25 mg bevont tabletta";"20 X   - buborékcsomagolásban";"OGYI-T-05573/06";"diclofenac potassium";"GlaxoSmithKline-Consumer Kft.";"M01AB05";"2020-10-21 00:00:00";"2021-01-31 00:00:00";"Hatóanyag, vagy egyéb alapanyag ellátási probléma";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"CAVERJECT 20 mikrogramm por és oldószer oldatos injekcióhoz";"1 X   - porampulla";"OGYI-T-04626/02";"alprostadil";"Pfizer Kft.";"G04BE01";"2023-02-23 00:00:00";"2023-05-10 00:00:00";"Gyártási gond";"Egyedi import";
"CEBION 100 mg/ml belsõleges oldatos cseppek";"1 X 30 ml üvegben";"OGYI-T-07336/01";"ascorbic acid";"P&G Health Germany GmbH";"A11GA01";"2023-03-09 00:00:00";"2023-04-10 00:00:00";"Megnövekedett igény";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CECLORETTA 125 mg/5 ml granulátum belsõleges szuszpenzióhoz";"1 X 75 ml mûanyag tartályban";"OGYI-T-01531/05";"cefaclor";"Teva B.V.";"J01DC04";"2022-11-25 00:00:00";"2023-04-15 00:00:00";"Gyártási gond";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CEFAZOLIN PANPHARMA 1 g por oldatos injekcióhoz vagy infúzióhoz";"25 X   - injekciós üvegben";"OGYI-T-23202/02";"cefazolin";"Panpharma";"J01DB04";"2020-11-11 00:00:00";"2020-12-04 00:00:00";"Gyártási gond";"Egyedi import";
"CEFAZOLIN PANPHARMA 1 g por oldatos injekcióhoz vagy infúzióhoz";"25 X   - injekciós üvegben";"OGYI-T-23202/02";"cefazolin";"Panpharma";"J01DB04";"2023-03-10 00:00:00";"2023-03-27 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"CEFOBID 1 g por oldatos injekcióhoz vagy infúzióhoz";"1 X   - injekciós üvegben";"OGYI-T-01134/01";"cefoperazone";"Pfizer Kft.";"J01DD12";"2016-02-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CEFOBID 2 g por oldatos injekcióhoz vagy infúzióhoz";"1 X   - injekciós üvegben";"OGYI-T-01134/02";"cefoperazone";"Pfizer Kft.";"J01DD12";"2016-02-16 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CEFTRIAXON KABI 1 g por oldatos injekcióhoz vagy infúzióhoz";"10 X   - injekciós üvegben";"OGYI-T-20554/02";"ceftriaxone";"Fresenius Kabi Deutschland GmbH";"J01DD04";"2021-03-22 00:00:00";"2021-03-31 00:00:00";"Megnövekedett igény";"Egyedi import";
"CELEBREX 100 mg kemény kapszula";"10 X   - buborékcsomagolásban";"OGYI-T-07288/21";"celecoxib";"Upjohn EESV";"M01AH01";"2017-06-01 00:00:00";"";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CELEBREX 200 mg kemény kapszula";"10 X   - buborékcsomagolásban";"OGYI-T-07288/03";"celecoxib";"Upjohn EESV";"M01AH01";"2016-01-30 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CERAZETTE 0,075 mg filmtabletta";"28 X   - buborékcsomagolásban";"OGYI-T-08377/01";"desogestrel";"Organon Hungary Kft.";"G03AC09";"2018-10-26 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CERAZETTE 0,075 mg filmtabletta";"3 X 28 - buborékcsomagolásban";"OGYI-T-08377/02";"desogestrel";"Organon Hungary Kft.";"G03AC09";"2021-01-25 00:00:00";"2021-06-01 00:00:00";"Adminisztratív okok";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"CERTICAN 0,25 mg diszpergálódó tabletta";"60 X   - buborékcsomagolásban";"OGYI-T-09961/06";"Everolimus";"Novartis Hungária Kft. Pharma részlege";"L04AA18";"2020-05-26 00:00:00";"2020-09-09 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"CEZERA 5 mg filmtabletta";"30 X   - buborékcsomagolásban";"OGYI-T-20530/01";"levocetirizine";"Krka d.d.";"R06AE09";"2023-01-09 00:00:00";"2023-04-30 00:00:00";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CHIANA-Olaj";"1 X 10 ml üvegben";"OGYI-TN-26/01";"peppermint oil";"Hübner Naturarzneimittel GmbH";"R05";"2021-05-17 00:00:00";"2023-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CHIANA-Olaj";"1 X 25 ml üvegben";"OGYI-TN-26/02";"peppermint oil";"Hübner Naturarzneimittel GmbH";"R05";"2021-05-17 00:00:00";"2023-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CHOLAGOL belsõleges oldatos cseppek";"1 X 10 ml üvegben";"OGYI-T-00444/01";"Eucalyptus oil;peppermint oil;Magnesium salicylate";"Teva Gyógyszergyár Zrt.";"A05AX20";"2022-02-14 00:00:00";"2023-07-31 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CHOLAGOL belsõleges oldatos cseppek";"1 X 25 ml üvegben";"OGYI-T-00444/02";"Eucalyptus oil;peppermint oil;Magnesium salicylate";"Teva Gyógyszergyár Zrt.";"A05AX20";"2022-02-14 00:00:00";"2023-07-31 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CHOLESTYRAMINE SUPREMEX 4 g por belsõleges szuszpenzióhoz";"50 X   - tasakban";"OGYI-T-23792/01";"colestyramine";"Supremex Kft.";"C10AC01";"2023-03-15 00:00:00";"2023-03-31 00:00:00";"Gyártási gond";"Egyedi import";
"CHORAPUR 1500 NE por és oldószer oldatos injekcióhoz";"3 X   - porüveg+oldószerüveg";"OGYI-T-23003/01";"chorionic gonadotrophin";"Ferring Magyarország Kft.";"G03GA01";"2017-03-01 00:00:00";"";"Gyártási gond";"Kontingens";
"CHORAPUR 5000 NE por és oldószer oldatos injekcióhoz";"3 X   - porüveg+oldószerüveg";"OGYI-T-23003/02";"chorionic gonadotrophin";"Ferring Magyarország Kft.";"G03GA01";"2022-01-01 00:00:00";"";"Korlátozottan elérhetõ ";"Kontingens";
"CILOPEDA 100 mg tabletta";"56 X   - buborékcsomagolásban";"OGYI-T-22731/02";"cilostazol";"PannonPharma Kft.";"B01AC23";"2021-09-02 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CINIE  50 mg tabletta";"2 X   - buborékcsomagolásban";"OGYI-T-20257/02";"sumatriptan";"Zentiva, k.s. (Csehország)";"N02CC01";"2013-12-20 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"CINIE  50 mg tabletta";"4 X   - buborékcsomagolásban";"OGYI-T-20257/03";"sumatriptan";"Zentiva, k.s. (Csehország)";"N02CC01";"2017-04-07 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"CIPRINOL 750 mg filmtabletta";"10 X   - buborékcsomagolásban";"OGYI-T-09362/03";"ciprofloxacin";"Krka d.d.";"J01MA02";"2020-08-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"CIPROFLOXACIN-HUMAN 500 mg filmtabletta";"10 X   - átlátszó buborékcsomagolásban";"OGYI-T-10598/08";"ciprofloxacin";"Teva Gyógyszergyár Zrt.";"J01MA02";"2022-10-18 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CIPROFLOXACIN-HUMAN 500 mg filmtabletta";"10 X   - átlátszó buborékcsomagolásban";"OGYI-T-10598/08";"ciprofloxacin";"Teva Gyógyszergyár Zrt.";"J01MA02";"2022-10-18 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CIPROFLOXACIN-HUMAN 750 mg filmtabletta";"10 X   - átlátszó buborékcsomagolásban";"OGYI-T-10598/10";"ciprofloxacin";"Teva Gyógyszergyár Zrt.";"J01MA02";"2022-10-18 00:00:00";"";"Piaci megfontolások";"Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)";
"CISPLATIN SANDOZ 0,5 mg/ml koncentrátum oldatos infúzióhoz";"1 X 50 ml injekciós üvegben";"OGYI-T-01575/02";"cisplatin";"Sandoz Hungária Kft.";"L01XA01";"2014-11-28 00:00:00";"";"Szállítási vagy raktározási gondok";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"CLARITINE 10 mg tabletta";"10 X   - buborékcsomagolásban";"OGYI-T-01650/07";"loratadine";"Bayer Hungária Kft.";"R06AX13";"2022-02-24 00:00:00";"2022-04-20 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CLARITINE 10 mg tabletta";"30 X   - buborékcsomagolásban";"OGYI-T-01650/03";"loratadine";"Bayer Hungária Kft.";"R06AX13";"2020-04-22 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CLEXANE 10000 NE (100 mg)/1 ml oldatos injekció elõretöltött fecskendõben";"2 X 1 ml elõretöltött fecskendõben";"OGYI-T-04097/09";"enoxaparin sodium";"sanofi-aventis zrt.";"B01AB05";"2015-10-09 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"CLOBEX 500 mikrogramm/g sampon";"1 X 125 ml HDPE tartályban";"OGYI-T-20383/03";"clobetasol";"Galderma International";"D07AD01";"2020-10-16 00:00:00";"";"Piaci megfontolások";"Azonos hatóanyag más gyógyszerformában elérhetõ";
"CLOBEX 500 mikrogramm/g sampon";"1 X 60 ml HDPE tartályban";"OGYI-T-20383/02";"clobetasol";"Galderma International";"D07AD01";"2019-10-04 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"COLDREX CITROM ÍZÛ por belsõleges oldathoz";"14 X 5 g tasakban";"OGYI-T-01715/22";"phenylephrine;paracetamol;ascorbic acid";"Omega Pharma Kft.";"N02BE51";"2022-11-22 00:00:00";"2023-04-07 00:00:00";"Megnövekedett igény";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"COLDREX JUNIOR por belsõleges oldathoz";"10 X   - tasakban";"OGYI-T-01715/24";"paracetamol;ascorbic acid;phenylephrine";"Omega Pharma Kft.";"N02BE51";"2022-12-08 00:00:00";"2023-05-15 00:00:00";"Megnövekedett igény";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
